region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target
경기도 구리시,8105,23218240000.0,1309603.0,17729.220229336675,0.48550708408561544,0.02775490304174649,0.030664253621290848,0.10035988946621277,0.022190743139876234,0.17679505423322353,0.15672807241203468,0.30381247616841534,0.054500268867992974,0.10442231744310293,-0.045201955616658185,0.014622490221619044,-0.0012955569405227567,-0.0015499469687653977,0.004188260852844947,-0.001225297379256994,-0.02026838044638757,0.005528430660468708,2026,2,20262,,
경기도 군포시,8104,24128740000.0,1568721.0,15381.154456401106,0.43680606612695067,0.0384835677287749,0.03559240971555083,0.11835139340056712,0.04309466636053105,0.14023028139886293,0.1874416152687625,0.2642104375641452,,,,,,,,,,,2026,1,20261,0.05961977293468279,0.0
경기도 군포시,8105,25567290000.0,1736155.0,14726.386756942784,0.4428470909509768,0.035798866442239285,0.03808655512570945,0.12242713248060315,0.03904441964713507,0.12924287243583502,0.19255306291750124,0.2691389620710172,0.05961977293468279,0.10673280972206012,-0.04256947690853141,0.006041024824026131,-0.0026847012865356124,0.0024941454101586186,0.004075739080036028,-0.004050246713395982,-0.010987408963027911,0.005111447648738748,2026,2,20262,,
경기도 김포시,8104,57754750000.0,3111474.0,18561.861677134373,0.35582804877520896,0.034224024863755795,0.025612265657803036,0.1112234058670499,0.03139291573420368,0.24560577268536354,0.1961135664166151,0.24057976000515321,,,,,,,,,,,2026,1,20261,0.05149204178011324,0.0
경기도 김포시,8105,60728660000.0,3472877.0,17486.556535114833,0.36440504368118776,0.031152342238409344,0.026005513706378505,0.11578371727615923,0.028311344264800177,0.2270713695971556,0.20727066923590937,0.24316772964695538,0.05149204178011324,0.11615170173364775,-0.057930888653489276,0.008576994905978796,-0.003071682625346451,0.00039324804857546886,0.004560311409109327,-0.0030815714694035004,-0.018534403088207946,0.011157102819294273,2026,2,20262,,
경기도 남양주시,8104,64977750000.0,3393670.0,19146.74968397045,0.42279441808926904,0.028175336942261004,0.019867570052825776,0.13057454282427447,0.03015740003308825,0.20039444271308254,0.16803628934519893,0.26629699713677185,,,,,,,,,,,2026,1,20261,0.07768643881944204,0.0
경기도 남양주시,8105,70025640000.0,3785528.0,18498.249121390727,0.4402758760933852,0.02593564300162055,0.019553837708587884,0.1327390938519091,0.0283877448317502,0.18204289171794788,0.17106491279479916,0.2757262071246224,0.07768643881944204,0.11546732593328168,-0.03387000787515626,0.017481458004116157,-0.0022396939406404553,-0.00031373234423789226,0.0021645510276346314,-0.0017696552013380488,-0.018351550995134663,0.0030286234496002262,2026,2,20262,,
경기도 동두천시,8104,9557100000.0,526066.0,18167.112111408074,0.40583231314938634,0.026414916658819097,0.022550773770285967,0.09708907513785563,0.02767785206809597,0.21835389396365007,0.20208117525190697,0.26461372802242106,,,,,,,,,,,2026,1,20261,0.05368050977807082,0.0
경기도 동두천시,8105,10070130000.0,589514.0,17082.08795719864,0.42753867129818585,0.02506819673628841,0.022125831543386234,0.10225885862446661,0.025904332913279173,0.1871594507717378,0.20994465811265595,0.2741406104785929,0.05368050977807082,0.12060844076598753,-0.05972463578997189,0.02170635814879951,-0.001346719922530687,-0.0004249422268997327,0.005169783486610985,-0.001773519154816796,-0.03119444319191228,0.007863482860748977,2026,2,20262,,
경기도 부천시 소사구,8104,19787210000.0,1333832.0,14834.859262635775,0.33103353125579604,0.05476365793863814,0.02293906013025586,0.09356043626160535,0.03670754997799083,0.25446740596577283,0.20652835846994094,0.23061708053624824,,,,,,,,,,,2026,1,20261,0.020233777273299225,0.0
