rank,region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target,missing_features,similarity_score,out_of_range_features,out_of_range_count,interpretation,positive_score_drivers,negative_score_drivers,percentile_amount_growth,percentile_count_growth,percentile_ticket_growth,percentile_concentration,percentile_q,percentile_share_korean,percentile_share_chinese,percentile_share_japanese,percentile_share_western,percentile_share_bakery,percentile_share_supermarket,percentile_share_convenience,percentile_share_change_korean,percentile_share_change_chinese,percentile_share_change_japanese,percentile_share_change_western,percentile_share_change_bakery,percentile_share_change_supermarket,percentile_share_change_convenience,evidence
211,서울특별시 강동구,8105,47264940000.0,3177717.0,14873.866993190395,0.3961498734580008,0.03175482715094952,0.04893838858147286,0.1522803160228279,0.0478496323067373,0.14758360002149584,0.17544336245851577,0.23837823155108526,0.029697996263758908,0.08004682205816516,-0.04661726210948902,0.002265762285768802,-0.001467871330045209,-0.0020004100482090142,0.011826193903300863,-0.0033525549737040763,-0.01222316115863345,0.004952041321522077,2026,2,20262,,,0,21.989374793094434,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.573; concentration=+0.166; share_japanese=+0.095,share_change_western=-1.095; share_western=-0.191; share_change_convenience=-0.180,0.6133333333333333,0.7488888888888889,0.12444444444444444,0.0022222222222222222,0.5,0.022222222222222223,0.5555555555555556,0.82,0.9711111111111111,0.7733333333333333,0.29555555555555557,0.7311111111111112,0.5333333333333333,0.23555555555555555,0.15333333333333332,0.9866666666666667,0.14888888888888888,0.2577777777777778,0.6444444444444445,매출 전분기 대비 +3.0%; 건수 +8.0%; 건당금액 -4.7%; 최대 업종 한식
212,경기도 수원시 팔달구,8105,43360460000.0,2556027.0,16964.00703122463,0.43339761616920114,0.05763568928927414,0.04575873964436724,0.1709255390740781,0.0199815684612202,0.0858662477289217,0.1864345996329375,0.2649949040601098,0.047149735027559814,0.10347660533427727,-0.051044915709521854,-0.002421431707445132,-0.0031290213662307706,-0.0005092834081384529,0.010838184142383606,-0.0011582670491439608,-0.007440420921254798,0.0038202403098295257,2026,2,20262,,,0,21.496075808045273,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.618; share_bakery=+0.190; concentration=+0.120,share_change_western=-1.003; share_western=-0.222; share_change_convenience=-0.145,0.6933333333333334,0.82,0.09777777777777778,0.015555555555555555,0.5,0.07555555555555556,0.9577777777777777,0.78,0.9955555555555555,0.02,0.03777777777777778,0.8266666666666667,0.43555555555555553,0.05333333333333334,0.44,0.9844444444444445,0.3688888888888889,0.3622222222222222,0.6177777777777778,매출 전분기 대비 +4.7%; 건수 +10.3%; 건당금액 -5.1%; 최대 업종 한식
213,부산광역시 금정구,8105,44622680000.0,3156572.0,14136.436615416978,0.47016830903029583,0.028533024013797467,0.032432386400816804,0.13591474111371168,0.04587599848328249,0.13412820565685432,0.15294733530124144,0.28488491898075485,0.19784711857491066,0.26571004453240965,-0.05361648684914211,-0.004762702126032359,-0.00251437159024415,-0.002088074025893956,0.0020098114984385684,-0.0060930021717088625,0.007014516337508464,0.006433822077932333,2026,2,20262,,,0,21.289344183120214,count_growth,1,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.643; concentration=+0.087; share_chinese=+0.040,amount_growth=-0.677; count_growth=-0.336; share_change_convenience=-0.225,0.9511111111111111,1.0,0.09333333333333334,0.06222222222222222,0.5,0.21333333333333335,0.5088888888888888,0.6155555555555555,0.9622222222222222,0.7288888888888889,0.26,0.44666666666666666,0.3711111111111111,0.09777777777777778,0.14888888888888888,0.8311111111111111,0.04888888888888889,0.7422222222222222,0.7111111111111111,매출 전분기 대비 +19.8%; 건수 +26.6%; 건당금액 -5.4%; 최대 업종 한식
214,서울특별시 성동구,8105,42889230000.0,2870888.0,14939.360225825598,0.36213893324734436,0.03214396714513177,0.055061375548127116,0.24094696967047438,0.03969924384280156,0.10414805768254641,0.16586145286357437,0.23319790829474116,0.06279130334154615,0.1349617434578032,-0.06358843417609894,-0.0024223743588245306,-0.0008854240595361704,0.0015548570686323704,0.011220591926006301,-0.0034606705872096896,-0.012772731101669377,0.006765751112601082,2026,2,20262,,,0,20.469182855895713,"concentration, share_western",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.743; concentration=+0.174; share_japanese=+0.130,share_change_western=-1.039; share_western=-0.339; share_change_convenience=-0.235,0.7555555555555555,0.8933333333333333,0.05555555555555555,0.0,0.5,0.0022222222222222222,0.5644444444444444,0.8644444444444445,1.0,0.5444444444444444,0.14666666666666667,0.6,0.43555555555555553,0.33111111111111113,0.7955555555555556,0.9866666666666667,0.14222222222222222,0.2511111111111111,0.7288888888888889,매출 전분기 대비 +6.3%; 건수 +13.5%; 건당금액 -6.4%; 최대 업종 한식
215,서울특별시 서초구,8105,77582340000.0,4778068.0,16237.17787189299,0.4410828546805884,0.0562992815117461,0.051775829396226,0.2366392918800851,0.0401708687827668,0.02800134669823055,0.14603052705035707,0.2801252737093729,0.03516879227011893,0.0889657297470754,-0.04940186454669393,-0.002791687393123854,-0.00567621142615525,-0.003292208416316701,0.007167652354535148,-0.0024374910939240005,-0.003311097795552751,0.010341043770537434,2026,2,20262,,,0,20.19187754662576,"share_western, share_supermarket",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.601; share_japanese=+0.111; concentration=+0.095,share_change_western=-0.663; share_change_convenience=-0.345; share_western=-0.331,0.6355555555555555,0.7688888888888888,0.10666666666666667,0.04888888888888889,0.5,0.09111111111111111,0.9422222222222222,0.84,1.0,0.5511111111111111,0.0,0.34,0.4266666666666667,0.008888888888888889,0.06888888888888889,0.9666666666666667,0.21333333333333335,0.43333333333333335,0.8466666666666667,매출 전분기 대비 +3.5%; 건수 +8.9%; 건당금액 -4.9%; 최대 업종 한식
216,경상남도 창원시 마산회원구,8105,29628770000.0,1873121.0,15817.86227371323,0.41792386251606123,0.024036772366858295,0.020934719868560187,0.09596550919933565,0.03853045536483627,0.23533916527753262,0.16726951540681573,0.2697339722266011,0.26843850151080173,0.35011874943688626,-0.06049856574479262,-0.016837247591368787,0.00020086880129789597,-0.005630387591435037,-0.0016423810468535194,-0.0006523503509515,0.020154174486187643,0.004407323293123294,2026,2,20262,,,0,20.111037950339732,count_growth,1,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.712; share_change_western=+0.152; concentration=+0.112,amount_growth=-0.942; count_growth=-0.446; share_change_korean=-0.265,0.9911111111111112,1.0,0.06666666666666667,0.022222222222222223,0.5,0.05555555555555555,0.28,0.32,0.9333333333333333,0.5,0.7355555555555555,0.6355555555555555,0.12222222222222222,0.5866666666666667,0.0044444444444444444,0.2288888888888889,0.4488888888888889,0.9155555555555556,0.6311111111111111,매출 전분기 대비 +26.8%; 건수 +35.0%; 건당금액 -6.0%; 최대 업종 한식
217,경상남도 남해군,8105,10083140000.0,378552.0,26636.07641750671,0.4784700004165369,0.02981511711629512,0.03431470752166488,0.11572188822132788,0.023720785390265335,0.19912646259002653,0.11883103874388336,0.2987263766051647,0.4530799881829908,0.42056439507655363,0.02288920742989964,0.018844541967015016,-0.0012347953369592386,-0.0009922104726139622,-0.006392491781986642,-0.0028631622113861645,-0.0025322420063577655,-0.004829640157711215,2026,2,20262,,,0,19.75002037826805,"amount_growth, count_growth",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+0.592; share_change_korean=+0.160; share_bakery=+0.154,amount_growth=-1.634; count_growth=-0.537; share_western=-0.130,1.0,1.0,0.6666666666666666,0.14222222222222222,0.5,0.25555555555555554,0.5155555555555555,0.6444444444444445,0.96,0.024444444444444446,0.56,0.13111111111111112,0.7333333333333333,0.26666666666666666,0.35555555555555557,0.03333333333333333,0.17777777777777778,0.4488888888888889,0.33555555555555555,매출 전분기 대비 +45.3%; 건수 +42.1%; 건당금액 +2.3%; 최대 업종 한식
218,충청남도 공주시,8105,16903100000.0,991998.0,17039.449676309832,0.5567990486952098,0.03610698629245523,0.009881027740473641,0.09446965349551266,0.029740106844306665,0.15722323124160656,0.11577994569043548,0.359359659449027,0.19866624969241053,0.2046646847949638,-0.004979340042307379,0.008479320210691421,-0.002990732475428394,-4.905815764139412e-05,0.004420233536486767,0.0006192772073650155,-0.011832882288853486,0.0013538419673801427,2026,2,20262,,,0,19.458202217745956,share_japanese,1,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.156; share_convenience=+0.133; share_bakery=+0.097,amount_growth=-0.680; share_change_western=-0.409; count_growth=-0.256,0.9511111111111111,0.9888888888888889,0.4288888888888889,0.7533333333333333,0.5,0.8044444444444444,0.5866666666666667,0.0,0.9266666666666666,0.18666666666666668,0.3466666666666667,0.10888888888888888,0.6244444444444445,0.06222222222222222,0.52,0.9266666666666666,0.68,0.2733333333333333,0.5111111111111111,매출 전분기 대비 +19.9%; 건수 +20.5%; 건당금액 -0.5%; 최대 업종 한식
219,서울특별시 동작구,8105,39775060000.0,3022441.0,13159.912798959516,0.39746413958897864,0.03347650512657932,0.05951040677248507,0.14771492488006305,0.039826212707158706,0.1316382677989675,0.19036954312576776,0.23961492991886837,0.0573777072417303,0.1341765492366065,-0.06771330446443102,-0.008510334514278683,-0.0013029944042141847,-0.0007295930148434326,0.011932147549781558,-0.001111721774069048,-0.009727668075258572,0.009450164232882419,2026,2,20262,,,0,19.275129654622802,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.784; concentration=+0.163; share_japanese=+0.156,share_change_western=-1.104; share_change_convenience=-0.317; share_western=-0.184,0.7333333333333333,0.8933333333333333,0.042222222222222223,0.0022222222222222222,0.5,0.022222222222222223,0.5755555555555556,0.9,0.9666666666666667,0.5444444444444444,0.24444444444444444,0.8377777777777777,0.28,0.2577777777777778,0.3977777777777778,0.9866666666666667,0.37777777777777777,0.31555555555555553,0.8133333333333334,매출 전분기 대비 +5.7%; 건수 +13.4%; 건당금액 -6.8%; 최대 업종 한식
220,경상남도 함양군,8105,3806380000.0,195784.0,19441.731704327216,0.5278637445551941,0.025827689300595317,0.012694476116415072,0.08710375737577436,0.022210078867585473,0.1452613769513291,0.17903887683310651,0.34070449127804814,0.31805338171946196,0.24462979091307857,0.05899231349148315,0.03214023803830285,-0.003609129403782982,0.003113053065595785,-0.0004933726988824855,-0.0007410132830579057,-0.020292593435252054,-0.010117182282923243,2026,2,20262,,,0,18.9788280062186,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_korean=+0.318; share_change_convenience=+0.282; share_bakery=+0.169,amount_growth=-1.128; ticket_growth=-0.484; count_growth=-0.308,0.9955555555555555,0.9933333333333333,0.82,0.6155555555555555,0.5,0.66,0.40444444444444444,0.06888888888888889,0.8888888888888888,0.022222222222222223,0.2822222222222222,0.7711111111111111,0.8644444444444445,0.024444444444444446,0.9244444444444444,0.42444444444444446,0.44,0.19777777777777777,0.26,매출 전분기 대비 +31.8%; 건수 +24.5%; 건당금액 +5.9%; 최대 업종 한식
221,경상남도 창원시 성산구,8105,43444470000.0,2561561.0,16960.154374617665,0.46178098156105946,0.03082440642042589,0.03959238080243584,0.13893897197963284,0.0391384680259651,0.11323328377581773,0.17649150743466316,0.28056626194566353,0.1309685056116976,0.2167866482043146,-0.07052850449934189,-0.017405117288017358,-0.0020671465774646965,-0.0041471785348910495,0.005555430616190654,-0.002464863718517507,0.011185332417037966,0.009343543085661987,2026,2,20262,,,0,18.971077008106487,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.813; concentration=+0.094; share_japanese=+0.041,share_change_western=-0.514; amount_growth=-0.426; share_change_convenience=-0.314,0.9,0.9911111111111112,0.035555555555555556,0.05333333333333334,0.5,0.16444444444444445,0.5355555555555556,0.7244444444444444,0.9622222222222222,0.5266666666666666,0.18,0.7511111111111111,0.11777777777777777,0.14666666666666667,0.03333333333333333,0.9355555555555556,0.2111111111111111,0.8422222222222222,0.8111111111111111,매출 전분기 대비 +13.1%; 건수 +21.7%; 건당금액 -7.1%; 최대 업종 한식
222,경상남도 산청군,8105,4482750000.0,197619.0,22683.80064669895,0.5456405108471363,0.025997434610451176,0.014807874630528135,0.08802186158050304,0.019704422508504824,0.22822597735764877,0.07760191846522782,0.36486397370775075,0.24513915893561466,0.20907083029973017,0.029831443892284648,0.028960881937631244,-0.005461928758250564,0.001297514095002332,0.00718468586804262,-0.0009583184503307966,-0.02958469982695211,-0.001438134865142715,2026,2,20262,,,0,18.39197897885383,share_convenience,1,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_korean=+0.280; share_convenience=+0.253; share_bakery=+0.193,amount_growth=-0.854; share_change_western=-0.665; count_growth=-0.262,0.9844444444444445,0.9888888888888889,0.7,0.7888888888888889,0.5,0.7555555555555555,0.41333333333333333,0.11333333333333333,0.8933333333333333,0.02,0.72,0.0,0.8422222222222222,0.011111111111111112,0.7644444444444445,0.9666666666666667,0.3977777777777778,0.12222222222222222,0.4111111111111111,매출 전분기 대비 +24.5%; 건수 +20.9%; 건당금액 +3.0%; 최대 업종 한식
