quarter,admin,name,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common
20214,11170520,용산2가동,6204760367,237889,697628214,3952937341,2232726954,237765876,5818303647,4098041628,2838933161,233,10,5,5004300,0.11243435245466266,0.7043361564866091,0.45754114471508966,0.04291845493562232,0.02145922746781116,0.5648273072386147,0.06014916389740973
20221,11170520,용산2가동,5040826011,196380,607091605,3149974682,1693799690,239563811,4770472839,3345817399,2325581567,242,14,3,4919764,0.12043494531952018,0.7013596999540531,0.46134930305572097,0.05785123966942149,0.012396694214876033,0.5377185091927669,0.07605261476193668
20222,11170520,용산2가동,7705332281,276908,784407395,4802146651,2698184544,317867326,7284198974,5132267739,3540797289,250,16,9,4924851,0.10180059293928326,0.7045754457448186,0.45952558045173286,0.064,0.036,0.5618705008598872,0.06619275692753099
20223,11170520,용산2가동,7040627330,250129,780447806,4192220628,2115694110,302851562,6695054246,4618647879,3091240510,250,10,11,4577419,0.11084918565062014,0.6898596649548342,0.43905753920936474,0.04,0.044,0.5046714611986781,0.0722413224097136
20224,11170520,용산2가동,6586858075,222962,627165485,4234339266,2198027747,354324057,6068365212,4047146566,3116863176,256,12,5,4219838,0.09521466499792468,0.6669253455604313,0.4731942210550817,0.046875,0.01953125,0.5190958043086574,0.08367871224799492
20231,11170520,용산2가동,5736031481,201257,579122440,3656354733,1976429581,299339119,5382105101,3529926231,2554043314,254,8,10,4221653,0.10096221436689845,0.6558634892403228,0.44526312703477994,0.031496062992125984,0.03937007874015748,0.5405464527722015,0.08186818316569504
20232,11170520,용산2가동,6717364148,249306,856667798,4090228879,2189781178,319679457,6254248387,4024334789,3148987275,259,14,9,4723301,0.12753034957246745,0.643456182099344,0.4687831723307075,0.05405405405405406,0.03474903474903475,0.5353688614450761,0.07815686272259582
20233,11170520,용산2가동,6413720297,244381,878043469,3742446487,1948852066,259973181,5984716438,4007893208,2929525726,263,21,15,4698577,0.13690080457838213,0.6696880711927893,0.4567591959646693,0.07984790874524715,0.057034220532319393,0.5207428009377439,0.0694661051007835
20234,11170520,용산2가동,7237195328,258191,958625749,4361889289,2214704588,348454315,6695682155,4520631515,3446133554,264,14,11,4539410,0.13245818380653218,0.67515622909672,0.47616975883837853,0.05303030303030303,0.041666666666666664,0.5077397524932917,0.07988609795272592
20241,11170520,용산2가동,6456562005,231111,856441936,3842274798,2003832798,298916788,6052405305,4009415430,3038063549,268,12,6,4410371,0.13264674533238685,0.6624499232871517,0.47053889463886595,0.04477611940298507,0.022388059701492536,0.521522510322022,0.07779682706598541
