quarter,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common,group,side,amount_index,amount_yoy,count_index,count_yoy,stores_index,stores_yoy,population_index,population_yoy
20232,550971585545,28587935,73899653708,363284783625,24710996152,16952790653,438576100867,224689519380,125304075959,8064,511,420,107234427,0.13412607046677605,0.5123159217655091,0.22742384407183902,0.06336805555555555,0.052083333333333336,0.06802100518888751,0.04666529240184055,성수,comparison,129.1418831953699,-0.0017421725546162836,110.85934686447615,-0.010845364102151422,106.25555884968871,0.0253019707565163,101.99986264401669,-0.016225165286477106
20233,543610895428,28160159,72675633778,359585127797,24289044489,19940477392,430554056305,218821250976,127139366012,8046,449,440,105404955,0.1336905392979301,0.5082317719961029,0.23387935576953373,0.055804126273924934,0.05468555804126274,0.06754741120081063,0.05545412157106004,성수,comparison,127.41661567111697,0.003694648397081668,109.20050134225505,-0.014877435667679295,106.01838126297065,0.030481557377049162,100.25969488323709,-0.011721602798942854
20234,597037113489,28709277,71071347008,402783790714,25795349808,22695428101,466879113374,239287813297,143627539066,8108,475,434,107314113,0.11904008210254996,0.512526275951255,0.24056718723340512,0.0585841144548594,0.053527380365071535,0.06404267103766399,0.05634642859080464,성수,comparison,139.93915329994812,0.02117008257886588,111.32989133952233,0.004085025724949398,106.83532628388839,0.018209217631545815,102.07565883449432,-0.011622827695906612
20241,549333854816,26695755,66593530320,368982265505,22486968114,21213640214,438186822547,220263072872,125987497894,8160,490,446,105998901,0.12122597166764022,0.5026693217100898,0.2293459556323898,0.06004901960784314,0.05465686274509804,0.060943221981749375,0.05749230301073247,성수,comparison,128.75801652046545,-0.004535105038540488,103.52178159611996,-0.014467808840145424,107.52050597885166,0.021148792391440407,100.82464787559991,-0.020608577225731173
20242,564373761169,28919847,73004138759,373423901845,23542605234,21258042650,451347787856,225768780111,128742278943,8171,458,454,106044060,0.12935423965810333,0.5002102285323048,0.22811528068975645,0.05605189083343532,0.05556235466895117,0.06304525531890569,0.05692737541696981,성수,comparison,132.28321070554708,0.02432462213227038,112.14644743807415,0.01161021248998928,107.66544783740159,0.013268849206349298,100.86760247447272,-0.011100604845867279
20243,547953349013,27915831,70001069103,360675025523,21903742466,20439634627,432759119007,215369890414,122954254269,8149,407,471,103532324,0.12775005249824514,0.4976669027984511,0.22438817919531132,0.0499447785004295,0.057798502883789425,0.06072985628610766,0.056670501644413354,성수,comparison,128.43444063408793,0.007988165103977707,108.25303722843557,-0.008676371465090149,107.37556412030175,0.012801391996022815,98.47847489515502,-0.017766062326007304
20244,602533574042,28223037,69703656829,412016112054,24323926944,21274382285,468519268133,232515362947,138085310923,8130,397,419,105709145,0.11568427027460756,0.49627705574105685,0.22917446740216782,0.04883148831488315,0.051537515375153754,0.059036348900870256,0.05163483092673744,성수,comparison,141.22746522990246,0.00920622927589787,109.44433196563321,-0.01693668565739226,107.12521000098825,0.002713369511593511,100.54903608723012,-0.014955796168207636
20251,538039572655,25237358,62436680507,366860574777,20016385581,19954972916,425871184379,204688418013,128670906981,8057,316,409,104448557,0.11604477380520753,0.48063458041067997,0.23914766407619972,0.03922055355591411,0.05076331140623061,0.05456128828552146,0.054393887727319394,성수,comparison,126.11075683252955,-0.020559960144424405,97.86635601574449,-0.054630296090146135,106.16332312152058,-0.012622549019607798,99.34998270066522,-0.014626038434115474
20252,563710036268,27763331,70497902433,376946593168,24109897922,20662555506,446090070177,212263632712,129579376739,8033,355,401,105681151,0.12506057706498552,0.4758313329587853,0.2298688481703653,0.04419270509149757,0.049919083779409935,0.06396104477128023,0.054815604864190876,성수,comparison,132.12764064370074,-0.0011760378434766405,107.66166711384588,-0.03999039137378557,105.84708633922983,-0.0168889976747032,100.52240859235987,-0.003422247318708882
20253,564363775051,28485742,74616562598,385881517743,23547669464,20424590756,442745493533,210617220784,128233762501,7996,356,425,105349232,0.13221359324711637,0.47570720393634375,0.22721827333693037,0.04452226113056528,0.053151575787893944,0.06102305599327233,0.05292969426331253,성수,comparison,132.28087006563356,0.029948582425053605,110.46305908663835,0.02041533350735647,105.35955463319827,-0.0187753098539698,100.20669195772966,0.01754918589483223
20254,592306893614,27686629,69818798590,414466499282,24928589860,21121199761,460351646928,217007636708,136995835606,7980,310,373,105458885,0.11787605267262034,0.47139537385415387,0.23129198238789822,0.03884711779448621,0.04674185463659148,0.060146211824562375,0.050959968532050856,성수,comparison,138.83044004029534,-0.016972797647433868,107.36422927430976,-0.01900603397146805,105.14873011167111,-0.01845018450184499,100.31099233263168,-0.0023674394490655892
20211,25402016459,1052280,3876614985,17616380297,4699939533,328906547,23820196877,16731426708,10266384108,837,48,33,6866678,0.1526105217377932,0.7024050554408019,0.4041562654905923,0.05734767025089606,0.03942652329749104,0.26679371435915133,0.018670495382982363,연남,case,89.51624724958216,,91.65485538042648,,93.93939393939394,,99.54021195651859,
